2026-01-17 16:02:31.706 | INFO     | __main__:<module>:18 - Starting application
2026-01-20 23:24:31.070 | DEBUG    | src.ingestion.parsers.parsers:parse:53 - Page map built: 12 pages
2026-01-20 23:24:31.071 | DEBUG    | src.ingestion.parsers.parsers:parse:55 - Extracting document structure...
2026-01-20 23:24:31.071 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:119 - Found chapter 1: 'Efficient Estimation of Word Representations in Vector Space' (page 1)
2026-01-20 23:24:31.071 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:119 - Found chapter 2: 'Tomas Mikolov' (page 1)
2026-01-20 23:24:31.071 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:119 - Found chapter 3: 'Abstract' (page 1)
2026-01-20 23:24:31.071 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:119 - Found chapter 4: '1 Introduction' (page 1)
2026-01-20 23:24:31.071 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:119 - Found chapter 5: '1.1 Goals of the Paper' (page 1)
2026-01-20 23:24:31.071 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:119 - Found chapter 6: '1.2 Previous Work' (page 2)
2026-01-20 23:24:31.071 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:119 - Found chapter 7: '2 Model Architectures' (page 2)
2026-01-20 23:24:31.071 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:119 - Found chapter 8: '2.1 Feedforward Neural Net Language Model (NNLM)' (page 3)
2026-01-20 23:24:31.071 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:119 - Found chapter 9: '2.2 Recurrent Neural Net Language Model (RNNLM)' (page 3)
2026-01-20 23:24:31.071 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:119 - Found chapter 10: '2.3 Parallel Training of Neural Networks' (page 4)
2026-01-20 23:24:31.071 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:119 - Found chapter 11: '3 New Log-linear Models' (page 4)
2026-01-20 23:24:31.071 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:119 - Found chapter 12: '3.1 Continuous Bag-of-Words Model' (page 4)
2026-01-20 23:24:31.071 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:119 - Found chapter 13: '3.2 Continuous Skip-gram Model' (page 4)
2026-01-20 23:24:31.071 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:119 - Found chapter 14: '4 Results' (page 5)
2026-01-20 23:24:31.071 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:119 - Found chapter 15: '4.1 Task Description' (page 6)
2026-01-20 23:24:31.071 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:119 - Found chapter 16: '4.2 Maximization of Accuracy' (page 6)
2026-01-20 23:24:31.071 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:119 - Found chapter 17: '4.3 Comparison of Model Architectures' (page 7)
2026-01-20 23:24:31.072 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:119 - Found chapter 18: '4.4 Large Scale Parallel Training of Models' (page 8)
2026-01-20 23:24:31.072 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:119 - Found chapter 19: '4.5 Microsoft Research Sentence Completion Challenge' (page 9)
2026-01-20 23:24:31.072 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:119 - Found chapter 20: '5 Examples of the Learned Relationships' (page 9)
2026-01-20 23:24:31.072 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:119 - Found chapter 21: '6 Conclusion' (page 10)
2026-01-20 23:24:31.072 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:119 - Found chapter 22: '7 Follow-Up Work' (page 11)
2026-01-20 23:24:31.072 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:119 - Found chapter 23: 'References' (page 11)
2026-01-20 23:24:31.072 | INFO     | src.ingestion.parsers.parsers:parse:57 - Structure extracted: 23 chapters
2026-01-20 23:24:31.072 | SUCCESS  | src.ingestion.parsers.parsers:parse:59 - Successfully parsed Word2Vec.pdf
2026-01-20 23:27:18.527 | INFO     | src.ingestion.parsers.parsers:parse:19 - Starting to parse PDF: data/Word2Vec.pdf
2026-01-20 23:27:18.529 | DEBUG    | src.ingestion.parsers.parsers:parse:29 - Initializing DocumentConverter with pipeline options
2026-01-20 23:27:18.532 | DEBUG    | src.ingestion.parsers.parsers:parse:36 - Converting document...
2026-01-20 23:27:30.499 | INFO     | src.ingestion.parsers.parsers:parse:39 - Document converted successfully: 12 pages
2026-01-20 23:27:30.499 | DEBUG    | src.ingestion.parsers.parsers:parse:41 - Extracting metadata...
2026-01-20 23:27:30.499 | DEBUG    | src.ingestion.parsers.parsers:parse:43 - Metadata extracted: title='Word2Vec', pages=12
2026-01-20 23:27:30.499 | DEBUG    | src.ingestion.parsers.parsers:parse:47 - Exporting to markdown...
2026-01-20 23:27:30.524 | DEBUG    | src.ingestion.parsers.parsers:parse:49 - Markdown exported: 45577 characters
2026-01-20 23:27:30.524 | DEBUG    | src.ingestion.parsers.parsers:parse:51 - Building page map...
2026-01-20 23:27:30.525 | DEBUG    | src.ingestion.parsers.parsers:parse:53 - Page map built: 12 pages
2026-01-20 23:27:30.525 | DEBUG    | src.ingestion.parsers.parsers:parse:55 - Extracting document structure...
2026-01-20 23:27:30.525 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:122 - Found chapter 1: 'Efficient Estimation of Word Representations in Vector Space' (page 1)
2026-01-20 23:27:30.525 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:122 - Found chapter 2: 'Tomas Mikolov' (page 1)
2026-01-20 23:27:30.525 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:122 - Found chapter 3: 'Abstract' (page 1)
2026-01-20 23:27:30.525 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:122 - Found chapter 4: '1 Introduction' (page 1)
2026-01-20 23:27:30.525 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:122 - Found chapter 5: '1.1 Goals of the Paper' (page 1)
2026-01-20 23:27:30.525 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:122 - Found chapter 6: '1.2 Previous Work' (page 2)
2026-01-20 23:27:30.525 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:122 - Found chapter 7: '2 Model Architectures' (page 2)
2026-01-20 23:27:30.525 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:122 - Found chapter 8: '2.1 Feedforward Neural Net Language Model (NNLM)' (page 3)
2026-01-20 23:27:30.525 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:122 - Found chapter 9: '2.2 Recurrent Neural Net Language Model (RNNLM)' (page 3)
2026-01-20 23:27:30.525 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:122 - Found chapter 10: '2.3 Parallel Training of Neural Networks' (page 4)
2026-01-20 23:27:30.525 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:122 - Found chapter 11: '3 New Log-linear Models' (page 4)
2026-01-20 23:27:30.525 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:122 - Found chapter 12: '3.1 Continuous Bag-of-Words Model' (page 4)
2026-01-20 23:27:30.525 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:122 - Found chapter 13: '3.2 Continuous Skip-gram Model' (page 4)
2026-01-20 23:27:30.525 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:122 - Found chapter 14: '4 Results' (page 5)
2026-01-20 23:27:30.525 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:122 - Found chapter 15: '4.1 Task Description' (page 6)
2026-01-20 23:27:30.525 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:122 - Found chapter 16: '4.2 Maximization of Accuracy' (page 6)
2026-01-20 23:27:30.525 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:122 - Found chapter 17: '4.3 Comparison of Model Architectures' (page 7)
2026-01-20 23:27:30.525 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:122 - Found chapter 18: '4.4 Large Scale Parallel Training of Models' (page 8)
2026-01-20 23:27:30.525 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:122 - Found chapter 19: '4.5 Microsoft Research Sentence Completion Challenge' (page 9)
2026-01-20 23:27:30.525 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:122 - Found chapter 20: '5 Examples of the Learned Relationships' (page 9)
2026-01-20 23:27:30.526 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:122 - Found chapter 21: '6 Conclusion' (page 10)
2026-01-20 23:27:30.526 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:122 - Found chapter 22: '7 Follow-Up Work' (page 11)
2026-01-20 23:27:30.526 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:122 - Found chapter 23: 'References' (page 11)
2026-01-20 23:27:30.526 | INFO     | src.ingestion.parsers.parsers:parse:57 - Structure extracted: 23 chapters
2026-01-20 23:27:30.526 | SUCCESS  | src.ingestion.parsers.parsers:parse:59 - Successfully parsed Word2Vec.pdf
2026-01-20 23:33:23.722 | INFO     | src.ingestion.parsers.parsers:parse:19 - Starting to parse PDF: data/Word2Vec.pdf
2026-01-20 23:33:23.723 | DEBUG    | src.ingestion.parsers.parsers:parse:29 - Initializing DocumentConverter with pipeline options
2026-01-20 23:33:23.725 | DEBUG    | src.ingestion.parsers.parsers:parse:36 - Converting document...
2026-01-20 23:33:35.509 | INFO     | src.ingestion.parsers.parsers:parse:39 - Document converted successfully: 12 pages
2026-01-20 23:33:35.509 | DEBUG    | src.ingestion.parsers.parsers:parse:41 - Extracting metadata...
2026-01-20 23:33:35.509 | DEBUG    | src.ingestion.parsers.parsers:parse:43 - Metadata extracted: title='Word2Vec', pages=12
2026-01-20 23:33:35.509 | DEBUG    | src.ingestion.parsers.parsers:parse:47 - Exporting to markdown...
2026-01-20 23:33:35.540 | DEBUG    | src.ingestion.parsers.parsers:parse:49 - Markdown exported: 45577 characters
2026-01-20 23:33:35.541 | DEBUG    | src.ingestion.parsers.parsers:parse:51 - Building page map...
2026-01-20 23:33:35.541 | ERROR    | src.ingestion.parsers.parsers:parse:65 - Failed to parse data/Word2Vec.pdf: DoclingParser._build_page_map() missing 1 required positional argument: 'text'
2026-01-20 23:35:21.680 | INFO     | src.ingestion.parsers.parsers:parse:19 - Starting to parse PDF: data/Word2Vec.pdf
2026-01-20 23:35:21.680 | DEBUG    | src.ingestion.parsers.parsers:parse:29 - Initializing DocumentConverter with pipeline options
2026-01-20 23:35:21.683 | DEBUG    | src.ingestion.parsers.parsers:parse:36 - Converting document...
2026-01-20 23:35:32.100 | INFO     | src.ingestion.parsers.parsers:parse:39 - Document converted successfully: 12 pages
2026-01-20 23:35:32.101 | DEBUG    | src.ingestion.parsers.parsers:parse:41 - Extracting metadata...
2026-01-20 23:35:32.101 | DEBUG    | src.ingestion.parsers.parsers:parse:43 - Metadata extracted: title='Word2Vec', pages=12
2026-01-20 23:35:32.101 | DEBUG    | src.ingestion.parsers.parsers:parse:47 - Exporting to markdown...
2026-01-20 23:35:32.123 | DEBUG    | src.ingestion.parsers.parsers:parse:49 - Markdown exported: 45577 characters
2026-01-20 23:35:32.123 | DEBUG    | src.ingestion.parsers.parsers:parse:51 - Building page map...
2026-01-20 23:35:32.124 | ERROR    | src.ingestion.parsers.parsers:parse:65 - Failed to parse data/Word2Vec.pdf: 'int' object has no attribute 'export_to_markdown'
2026-01-21 00:03:41.581 | INFO     | src.ingestion.parsers.parsers:parse:22 - Starting to parse PDF: data/Word2Vec.pdf
2026-01-21 00:03:41.582 | DEBUG    | src.ingestion.parsers.parsers:parse:32 - Initializing DocumentConverter with pipeline options
2026-01-21 00:03:41.587 | DEBUG    | src.ingestion.parsers.parsers:parse:39 - Converting document...
2026-01-21 00:03:53.661 | INFO     | src.ingestion.parsers.parsers:parse:42 - Document converted successfully: 12 pages
2026-01-21 00:03:53.662 | DEBUG    | src.ingestion.parsers.parsers:parse:44 - Extracting metadata...
2026-01-21 00:03:53.662 | DEBUG    | src.ingestion.parsers.parsers:parse:46 - Metadata extracted: title='Word2Vec', pages=12
2026-01-21 00:03:53.662 | DEBUG    | src.ingestion.parsers.parsers:parse:50 - Exporting to markdown...
2026-01-21 00:03:53.695 | DEBUG    | src.ingestion.parsers.parsers:parse:52 - Markdown exported: 45808 characters
2026-01-21 00:03:53.695 | DEBUG    | src.ingestion.parsers.parsers:parse:54 - Building page map...
2026-01-21 00:03:53.695 | DEBUG    | src.ingestion.parsers.parsers:parse:56 - Page map built: 12 pages
2026-01-21 00:03:53.695 | DEBUG    | src.ingestion.parsers.parsers:parse:60 - Extracting document structure...
2026-01-21 00:03:53.695 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:139 - Found chapter 1: 'Efficient Estimation of Word Representations in Vector Space' (page 1)
2026-01-21 00:03:53.695 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:139 - Found chapter 2: 'Tomas Mikolov' (page 1)
2026-01-21 00:03:53.695 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:139 - Found chapter 3: 'Abstract' (page 1)
2026-01-21 00:03:53.695 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:139 - Found chapter 4: '1 Introduction' (page 1)
2026-01-21 00:03:53.695 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:139 - Found chapter 5: '1.1 Goals of the Paper' (page 1)
2026-01-21 00:03:53.695 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:139 - Found chapter 6: '1.2 Previous Work' (page 2)
2026-01-21 00:03:53.695 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:139 - Found chapter 7: '2 Model Architectures' (page 2)
2026-01-21 00:03:53.695 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:139 - Found chapter 8: '2.1 Feedforward Neural Net Language Model (NNLM)' (page 3)
2026-01-21 00:03:53.695 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:139 - Found chapter 9: '2.2 Recurrent Neural Net Language Model (RNNLM)' (page 3)
2026-01-21 00:03:53.695 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:139 - Found chapter 10: '2.3 Parallel Training of Neural Networks' (page 4)
2026-01-21 00:03:53.695 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:139 - Found chapter 11: '3 New Log-linear Models' (page 4)
2026-01-21 00:03:53.695 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:139 - Found chapter 12: '3.1 Continuous Bag-of-Words Model' (page 4)
2026-01-21 00:03:53.695 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:139 - Found chapter 13: '3.2 Continuous Skip-gram Model' (page 4)
2026-01-21 00:03:53.695 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:139 - Found chapter 14: '4 Results' (page 5)
2026-01-21 00:03:53.695 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:139 - Found chapter 15: '4.1 Task Description' (page 6)
2026-01-21 00:03:53.695 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:139 - Found chapter 16: '4.2 Maximization of Accuracy' (page 6)
2026-01-21 00:03:53.696 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:139 - Found chapter 17: '4.3 Comparison of Model Architectures' (page 7)
2026-01-21 00:03:53.696 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:139 - Found chapter 18: '4.4 Large Scale Parallel Training of Models' (page 8)
2026-01-21 00:03:53.696 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:139 - Found chapter 19: '4.5 Microsoft Research Sentence Completion Challenge' (page 9)
2026-01-21 00:03:53.696 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:139 - Found chapter 20: '5 Examples of the Learned Relationships' (page 9)
2026-01-21 00:03:53.696 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:139 - Found chapter 21: '6 Conclusion' (page 10)
2026-01-21 00:03:53.696 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:139 - Found chapter 22: '7 Follow-Up Work' (page 11)
2026-01-21 00:03:53.696 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure:139 - Found chapter 23: 'References' (page 11)
2026-01-21 00:03:53.696 | INFO     | src.ingestion.parsers.parsers:parse:62 - Structure extracted: 23 chapters
2026-01-21 00:03:53.696 | SUCCESS  | src.ingestion.parsers.parsers:parse:64 - Successfully parsed Word2Vec.pdf
2026-01-21 13:07:27.035 | INFO     | src.ingestion.parsers.parsers:parse:22 - Starting to parse PDF: data/Word2Vec.pdf
2026-01-21 13:07:27.036 | DEBUG    | src.ingestion.parsers.parsers:parse:32 - Initializing DocumentConverter with pipeline options
2026-01-21 13:07:27.039 | DEBUG    | src.ingestion.parsers.parsers:parse:39 - Converting document...
2026-01-21 13:07:42.070 | INFO     | src.ingestion.parsers.parsers:parse:42 - Document converted successfully: 12 pages
2026-01-21 13:07:42.071 | DEBUG    | src.ingestion.parsers.parsers:parse:44 - Extracting metadata...
2026-01-21 13:07:42.071 | DEBUG    | src.ingestion.parsers.parsers:parse:46 - Metadata extracted: title='Word2Vec', pages=12
2026-01-21 13:07:42.071 | DEBUG    | src.ingestion.parsers.parsers:parse:50 - Exporting to markdown...
2026-01-21 13:07:42.113 | DEBUG    | src.ingestion.parsers.parsers:parse:52 - Markdown exported: 45808 characters
2026-01-21 13:07:42.113 | DEBUG    | src.ingestion.parsers.parsers:parse:54 - Building page map...
2026-01-21 13:07:42.113 | DEBUG    | src.ingestion.parsers.parsers:parse:56 - Page map built: 12 pages
2026-01-21 13:07:42.113 | DEBUG    | src.ingestion.parsers.parsers:parse:60 - Extracting document structure...
2026-01-21 13:07:42.113 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure_from_markdown:170 - Found chapter 1: 'Efficient Estimation of Word Representations in Vector Space' (chars 0-65)
2026-01-21 13:07:42.113 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure_from_markdown:170 - Found chapter 2: 'Tomas Mikolov' (chars 65-323)
2026-01-21 13:07:42.113 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure_from_markdown:170 - Found chapter 3: 'Abstract' (chars 323-981)
2026-01-21 13:07:42.113 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure_from_markdown:170 - Found chapter 4: '1 Introduction' (chars 981-2477)
2026-01-21 13:07:42.113 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure_from_markdown:170 - Found chapter 5: '1.1 Goals of the Paper' (chars 2477-4299)
2026-01-21 13:07:42.114 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure_from_markdown:170 - Found chapter 6: '1.2 Previous Work' (chars 4299-5776)
2026-01-21 13:07:42.114 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure_from_markdown:170 - Found chapter 7: '2 Model Architectures' (chars 5776-7204)
2026-01-21 13:07:42.114 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure_from_markdown:170 - Found chapter 8: '2.1 Feedforward Neural Net Language Model (NNLM)' (chars 7204-9732)
2026-01-21 13:07:42.114 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure_from_markdown:170 - Found chapter 9: '2.2 Recurrent Neural Net Language Model (RNNLM)' (chars 9732-10900)
2026-01-21 13:07:42.114 | DEBUG    | src.ingestion.parsers.parsers:_extract_structure_from_markdown:170 - Found chapter 10: '2.3 Parallel Training of Neural Networks' (chars 10900-11631)
